iter	Passed	Remaining
0	46	46517
1	47	23542
2	47	15886
3	48	12032
4	48	9729
5	49	8183
6	49	7080
7	51	6353
8	51	5707
9	52	5185
10	53	4775
11	53	4422
12	54	4116
13	54	3854
14	55	3638
15	55	3440
16	56	3267
17	57	3113
18	57	2971
19	58	2842
20	58	2727
21	59	2624
22	59	2532
23	60	2444
24	60	2365
25	61	2295
26	61	2227
27	62	2165
28	63	2110
29	63	2056
30	64	2011
31	64	1964
32	65	1920
33	66	1878
34	66	1836
35	67	1796
36	67	1759
37	68	1725
38	68	1692
39	69	1662
40	69	1632
41	70	1602
42	70	1574
43	71	1547
44	71	1523
45	72	1498
46	72	1475
47	73	1453
48	73	1433
49	74	1413
50	74	1395
51	75	1375
52	75	1356
53	76	1340
54	76	1322
55	77	1306
56	78	1293
57	78	1278
58	79	1263
59	80	1260
60	80	1246
61	81	1232
62	81	1218
63	82	1205
64	82	1192
65	83	1180
66	83	1168
67	84	1156
68	84	1144
69	85	1132
70	85	1122
71	86	1111
72	86	1100
73	87	1095
74	88	1085
75	88	1076
76	89	1067
77	89	1057
78	90	1049
79	90	1040
80	90	1032
81	91	1023
82	91	1012
83	92	1004
84	92	997
85	93	990
86	93	983
87	94	976
88	94	969
89	95	962
90	95	956
91	96	949
92	96	942
93	97	936
94	97	929
95	98	923
96	98	917
97	99	911
98	99	905
99	99	899
100	100	894
101	101	889
102	101	884
103	102	879
104	102	874
105	103	869
106	103	864
107	104	860
108	104	855
109	105	850
110	105	846
111	106	841
112	106	836
113	107	832
114	107	827
115	108	823
116	108	818
117	108	814
118	109	811
119	110	807
120	110	804
121	111	799
122	111	795
123	112	792
124	112	788
125	113	784
126	113	780
127	113	776
128	114	772
129	114	768
130	115	766
131	115	762
132	116	759
133	116	755
134	117	752
135	117	749
136	118	746
137	118	742
138	135	838
139	143	881
140	144	878
141	144	873
142	145	869
143	145	864
144	145	860
145	146	859
146	164	957
147	170	982
148	171	980
149	172	975
150	172	970
151	173	965
152	173	960
153	179	987
154	180	982
155	180	978
156	181	973
157	181	969
158	182	965
159	183	961
160	183	955
161	184	952
162	184	948
163	185	944
164	185	940
165	186	935
166	187	934
167	188	931
168	188	927
169	195	954
170	196	952
171	197	949
172	197	945
173	198	943
174	199	939
175	205	964
176	206	960
177	207	956
178	207	952
179	208	948
180	208	944
181	209	940
182	209	935
183	210	931
184	210	927
185	211	923
186	211	920
187	212	916
188	212	912
189	213	908
190	213	905
191	214	901
192	214	897
193	215	894
194	215	890
195	216	886
196	216	883
197	217	881
198	218	877
199	218	873
200	218	870
201	219	866
202	219	863
203	220	859
204	220	856
205	221	853
206	221	849
